barcode,Ti_ppm,Zr_ppm,Ca_ppm,Mg_ppm,Si_ppm,status
LB-24-4401,3102,158,16780,5890,8430,complete
LB-24-4402,3045,154,16520,5710,8290,complete
LB-24-4403,3200,162,17100,6050,8610,complete
LB-24-4404,3150,160,16900,5980,8500,complete
LB-24-4405,3080,156,16650,5820,8350,complete
LB-25-5501,3110,157,22340,8760,11420,complete
LB-25-5502,3058,155,21890,8510,11100,complete
LB-25-5503,5240,412,48200,19100,26800,flagged
LB-25-5505,3190,161,17800,6350,9050,complete
LB-25-5506,3095,157,16700,5850,8400,complete
LB-25-5507,3170,160,19800,7350,10100,complete
LB-25-5508,3130,159,21500,8400,10950,complete
